Image,Image_Path,Label,Prediction,Probability
26,/fruits-360/Test/Apple Crimson Snow 1/107_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,0.9999980926513672
27,/fruits-360/Test/Apple Crimson Snow 1/131_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,0.6699537634849548
28,/fruits-360/Test/Apple Crimson Snow 1/r_116_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,1.0
29,/fruits-360/Test/Apple Crimson Snow 1/r_111_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,1.0
30,/fruits-360/Test/Apple Crimson Snow 1/113_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,1.0
31,/fruits-360/Test/Apple Golden 1/77_100.jpg,Apple Golden 1,Apple Golden 1,1.0
32,/fruits-360/Test/Apple Golden 1/r_52_100.jpg,Apple Golden 1,Apple Golden 1,0.9999262094497681
33,/fruits-360/Test/Apple Golden 1/r_41_100.jpg,Apple Golden 1,Apple Golden 1,1.0
34,/fruits-360/Test/Apple Golden 1/r_40_100.jpg,Apple Golden 1,Apple Golden 1,1.0
35,/fruits-360/Test/Apple Golden 1/76_100.jpg,Apple Golden 1,Apple Golden 1,1.0
36,/fruits-360/Test/Apple Golden 1/r_96_100.jpg,Apple Golden 1,Apple Golden 1,1.0
37,/fruits-360/Test/Apple Golden 1/r_58_100.jpg,Apple Golden 1,Apple Golden 1,0.8795086145401001
38,/fruits-360/Test/Apple Golden 1/r_70_100.jpg,Apple Golden 1,Apple Red Yellow 1,0.48043298721313477
39,/fruits-360/Test/Apple Golden 1/102_100.jpg,Apple Golden 1,Apple Golden 1,0.999983549118042
40,/fruits-360/Test/Apple Golden 1/r_85_100.jpg,Apple Golden 1,Grapefruit Pink 1,0.6286517381668091
41,/fruits-360/Test/Apple Golden 2/53_100.jpg,Apple Golden 2,Apple Golden 2,1.0
42,/fruits-360/Test/Apple Golden 2/r_70_100.jpg,Apple Golden 2,Apple Golden 2,1.0
43,/fruits-360/Test/Apple Golden 2/69_100.jpg,Apple Golden 2,Apple Golden 2,1.0
44,/fruits-360/Test/Apple Golden 2/93_100.jpg,Apple Golden 2,Apple Golden 2,1.0
45,/fruits-360/Test/Apple Golden 2/88_100.jpg,Apple Golden 2,Apple Golden 2,1.0
46,/fruits-360/Test/Apple Golden 2/96_100.jpg,Apple Golden 2,Apple Golden 2,1.0
47,/fruits-360/Test/Apple Golden 2/327_100.jpg,Apple Golden 2,Apple Golden 2,1.0
48,/fruits-360/Test/Apple Golden 2/r_323_100.jpg,Apple Golden 2,Apple Golden 2,1.0
49,/fruits-360/Test/Apple Golden 2/67_100.jpg,Apple Golden 2,Apple Golden 2,1.0
50,/fruits-360/Test/Apple Golden 2/r_73_100.jpg,Apple Golden 2,Apple Golden 2,1.0
51,/fruits-360/Test/Apple Golden 3/r_37_100.jpg,Apple Golden 3,Apple Golden 3,1.0
52,/fruits-360/Test/Apple Golden 3/r_49_100.jpg,Apple Golden 3,Apple Golden 3,0.9999998807907104
53,/fruits-360/Test/Apple Golden 3/40_100.jpg,Apple Golden 3,Apple Golden 3,1.0
54,/fruits-360/Test/Apple Golden 3/r_48_100.jpg,Apple Golden 3,Apple Golden 3,0.9981632828712463
55,/fruits-360/Test/Apple Golden 3/r_55_100.jpg,Apple Golden 3,Apple Golden 3,0.9999016523361206
56,/fruits-360/Test/Apple Golden 3/r_85_100.jpg,Apple Golden 3,Apple Golden 3,1.0
57,/fruits-360/Test/Apple Golden 3/r_39_100.jpg,Apple Golden 3,Apple Golden 3,1.0
58,/fruits-360/Test/Apple Golden 3/85_100.jpg,Apple Golden 3,Apple Golden 3,1.0
59,/fruits-360/Test/Apple Golden 3/r_33_100.jpg,Apple Golden 3,Apple Golden 3,1.0
60,/fruits-360/Test/Apple Golden 3/r_70_100.jpg,Apple Golden 3,Apple Golden 3,1.0
61,/fruits-360/Test/Apple Granny Smith 1/r_71_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,0.9998539686203003
62,/fruits-360/Test/Apple Granny Smith 1/51_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1.0
63,/fruits-360/Test/Apple Granny Smith 1/59_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1.0
64,/fruits-360/Test/Apple Granny Smith 1/r_323_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1.0
65,/fruits-360/Test/Apple Granny Smith 1/r_81_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1.0
66,/fruits-360/Test/Apple Granny Smith 1/r_85_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1.0
67,/fruits-360/Test/Apple Granny Smith 1/r_79_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1.0
68,/fruits-360/Test/Apple Granny Smith 1/91_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1.0
69,/fruits-360/Test/Apple Granny Smith 1/41_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1.0
70,/fruits-360/Test/Apple Granny Smith 1/r_65_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,0.999864935874939
71,/fruits-360/Test/Apple Pink Lady 1/252_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1.0
72,/fruits-360/Test/Apple Pink Lady 1/r_236_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,0.9685256481170654
73,/fruits-360/Test/Apple Pink Lady 1/279_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1.0
74,/fruits-360/Test/Apple Pink Lady 1/r_59_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1.0
75,/fruits-360/Test/Apple Pink Lady 1/r_259_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,0.9999997615814209
76,/fruits-360/Test/Apple Pink Lady 1/r_226_100.jpg,Apple Pink Lady 1,Onion White 1,0.8425437211990356
77,/fruits-360/Test/Apple Pink Lady 1/70_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1.0
78,/fruits-360/Test/Apple Pink Lady 1/270_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1.0
79,/fruits-360/Test/Apple Pink Lady 1/r_249_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,0.9999998807907104
80,/fruits-360/Test/Apple Pink Lady 1/256_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1.0
81,/fruits-360/Test/Apple Red 1/69_100.jpg,Apple Red 1,Grape Pink 1,1.0
82,/fruits-360/Test/Apple Red 1/76_100.jpg,Apple Red 1,Grape Pink 1,1.0
83,/fruits-360/Test/Apple Red 1/88_100.jpg,Apple Red 1,Grape Pink 1,0.99994957447052
84,/fruits-360/Test/Apple Red 1/93_100.jpg,Apple Red 1,Apple Red 1,0.9486111402511597
85,/fruits-360/Test/Apple Red 1/83_100.jpg,Apple Red 1,Grape Pink 1,1.0
86,/fruits-360/Test/Apple Red 1/61_100.jpg,Apple Red 1,Grape Pink 1,1.0
87,/fruits-360/Test/Apple Red 1/5_100.jpg,Apple Red 1,Apple Red 1,1.0
88,/fruits-360/Test/Apple Red 1/r_65_100.jpg,Apple Red 1,Grape Pink 1,0.968732476234436
89,/fruits-360/Test/Apple Red 1/r_57_100.jpg,Apple Red 1,Apple Red 1,0.5680580735206604
90,/fruits-360/Test/Apple Red 1/r_79_100.jpg,Apple Red 1,Grape Pink 1,0.9995792508125305
91,/fruits-360/Test/Apple Red 2/r_41_100.jpg,Apple Red 2,Apple Red 2,1.0
92,/fruits-360/Test/Apple Red 2/60_100.jpg,Apple Red 2,Orange 1,0.9999997615814209
93,/fruits-360/Test/Apple Red 2/r_89_100.jpg,Apple Red 2,Apple Red 2,0.9993091821670532
94,/fruits-360/Test/Apple Red 2/75_100.jpg,Apple Red 2,Orange 1,0.9999854564666748
95,/fruits-360/Test/Apple Red 2/61_100.jpg,Apple Red 2,Orange 1,0.9999982118606567
96,/fruits-360/Test/Apple Red 2/70_100.jpg,Apple Red 2,Orange 1,0.9997603297233582
97,/fruits-360/Test/Apple Red 2/55_100.jpg,Apple Red 2,Orange 1,0.9998570680618286
98,/fruits-360/Test/Apple Red 2/r_60_100.jpg,Apple Red 2,Nectarine 1,0.9954877495765686
99,/fruits-360/Test/Apple Red 2/76_100.jpg,Apple Red 2,Orange 1,0.9972047209739685
100,/fruits-360/Test/Apple Red 2/45_100.jpg,Apple Red 2,Apple Red 2,1.0
101,/fruits-360/Test/Apple Red 3/r_322_100.jpg,Apple Red 3,Apple Red 3,1.0
102,/fruits-360/Test/Apple Red 3/r_34_100.jpg,Apple Red 3,Apple Red 3,1.0
103,/fruits-360/Test/Apple Red 3/92_100.jpg,Apple Red 3,Apple Red 3,0.9999992847442627
104,/fruits-360/Test/Apple Red 3/r_6_100.jpg,Apple Red 3,Apple Red 3,1.0
105,/fruits-360/Test/Apple Red 3/6_100.jpg,Apple Red 3,Apple Red 3,1.0
106,/fruits-360/Test/Apple Red 3/58_100.jpg,Apple Red 3,Apple Red 3,1.0
107,/fruits-360/Test/Apple Red 3/49_100.jpg,Apple Red 3,Apple Red 3,1.0
108,/fruits-360/Test/Apple Red 3/r_79_100.jpg,Apple Red 3,Apple Red 3,0.9999760389328003
109,/fruits-360/Test/Apple Red 3/r_48_100.jpg,Apple Red 3,Apple Red 3,1.0
110,/fruits-360/Test/Apple Red 3/r_321_100.jpg,Apple Red 3,Apple Red 3,1.0
111,/fruits-360/Test/Apple Red Delicious 1/r_160_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1.0
112,/fruits-360/Test/Apple Red Delicious 1/309_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1.0
113,/fruits-360/Test/Apple Red Delicious 1/r_175_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1.0
114,/fruits-360/Test/Apple Red Delicious 1/r_319_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1.0
115,/fruits-360/Test/Apple Red Delicious 1/r_150_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1.0
116,/fruits-360/Test/Apple Red Delicious 1/r_288_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1.0
117,/fruits-360/Test/Apple Red Delicious 1/172_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1.0
118,/fruits-360/Test/Apple Red Delicious 1/18_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1.0
119,/fruits-360/Test/Apple Red Delicious 1/r_268_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1.0
120,/fruits-360/Test/Apple Red Delicious 1/234_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1.0
121,/fruits-360/Test/Apple Red Yellow 1/73_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,0.9982088804244995
122,/fruits-360/Test/Apple Red Yellow 1/69_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,0.9968706965446472
123,/fruits-360/Test/Apple Red Yellow 1/r_5_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,1.0
124,/fruits-360/Test/Apple Red Yellow 1/r_33_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,0.9970874190330505
125,/fruits-360/Test/Apple Red Yellow 1/r_70_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,1.0
126,/fruits-360/Test/Apple Red Yellow 1/36_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,1.0
127,/fruits-360/Test/Apple Red Yellow 1/71_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,0.9068090915679932
128,/fruits-360/Test/Apple Red Yellow 1/r_48_100.jpg,Apple Red Yellow 1,Nectarine 1,0.9385525584220886
129,/fruits-360/Test/Apple Red Yellow 1/89_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,1.0
130,/fruits-360/Test/Apple Red Yellow 1/4_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,1.0
131,/fruits-360/Test/Apple Red Yellow 2/r2_180_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1.0
132,/fruits-360/Test/Apple Red Yellow 2/119_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,0.999998927116394
133,/fruits-360/Test/Apple Red Yellow 2/135_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1.0
134,/fruits-360/Test/Apple Red Yellow 2/r2_209_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1.0
135,/fruits-360/Test/Apple Red Yellow 2/116_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1.0
136,/fruits-360/Test/Apple Red Yellow 2/r2_169_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1.0
137,/fruits-360/Test/Apple Red Yellow 2/133_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1.0
138,/fruits-360/Test/Apple Red Yellow 2/r_236_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1.0
139,/fruits-360/Test/Apple Red Yellow 2/225_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1.0
140,/fruits-360/Test/Apple Red Yellow 2/4_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1.0
141,/fruits-360/Test/Apple hit 1/r2_59_100.jpg,Apple hit 1,Apple hit 1,1.0
142,/fruits-360/Test/Apple hit 1/r0_31_100.jpg,Apple hit 1,Apple hit 1,1.0
143,/fruits-360/Test/Apple hit 1/r0_315_100.jpg,Apple hit 1,Apple hit 1,1.0
144,/fruits-360/Test/Apple hit 1/r1_195_100.jpg,Apple hit 1,Apple hit 1,1.0
145,/fruits-360/Test/Apple hit 1/r2_239_100.jpg,Apple hit 1,Apple hit 1,1.0
146,/fruits-360/Test/Apple hit 1/r2_151_100.jpg,Apple hit 1,Apple hit 1,1.0
147,/fruits-360/Test/Apple hit 1/r2_63_100.jpg,Apple hit 1,Apple hit 1,1.0
148,/fruits-360/Test/Apple hit 1/r1_3_100.jpg,Apple hit 1,Apple hit 1,1.0
149,/fruits-360/Test/Apple hit 1/r1_15_100.jpg,Apple hit 1,Apple hit 1,1.0
150,/fruits-360/Test/Apple hit 1/r1_11_100.jpg,Apple hit 1,Apple hit 1,1.0
151,/fruits-360/Test/Apricot 1/r_324_100.jpg,Apricot 1,Apricot 1,1.0
152,/fruits-360/Test/Apricot 1/93_100.jpg,Apricot 1,Apricot 1,1.0
153,/fruits-360/Test/Apricot 1/r_70_100.jpg,Apricot 1,Apricot 1,0.9999998807907104
154,/fruits-360/Test/Apricot 1/41_100.jpg,Apricot 1,Apricot 1,1.0
155,/fruits-360/Test/Apricot 1/r_55_100.jpg,Apricot 1,Apricot 1,1.0
156,/fruits-360/Test/Apricot 1/78_100.jpg,Apricot 1,Apricot 1,1.0
157,/fruits-360/Test/Apricot 1/r_50_100.jpg,Apricot 1,Apricot 1,1.0
158,/fruits-360/Test/Apricot 1/60_100.jpg,Apricot 1,Apricot 1,1.0
159,/fruits-360/Test/Apricot 1/80_100.jpg,Apricot 1,Apricot 1,1.0
160,/fruits-360/Test/Apricot 1/r_62_100.jpg,Apricot 1,Apricot 1,1.0
161,/fruits-360/Test/Avocado 1/50_100.jpg,Avocado 1,Avocado 1,0.9999998807907104
162,/fruits-360/Test/Avocado 1/79_100.jpg,Avocado 1,Avocado 1,1.0
163,/fruits-360/Test/Avocado 1/r_321_100.jpg,Avocado 1,Avocado 1,1.0
164,/fruits-360/Test/Avocado 1/r_71_100.jpg,Avocado 1,Avocado 1,0.9999973773956299
165,/fruits-360/Test/Avocado 1/57_100.jpg,Avocado 1,Avocado 1,0.9999998807907104
166,/fruits-360/Test/Avocado 1/r_82_100.jpg,Avocado 1,Avocado 1,1.0
167,/fruits-360/Test/Avocado 1/r_92_100.jpg,Avocado 1,Avocado 1,1.0
168,/fruits-360/Test/Avocado 1/r_56_100.jpg,Avocado 1,Avocado 1,1.0
169,/fruits-360/Test/Avocado 1/63_100.jpg,Avocado 1,Avocado 1,0.9999994039535522
170,/fruits-360/Test/Avocado 1/r_86_100.jpg,Avocado 1,Avocado 1,1.0
171,/fruits-360/Test/Avocado ripe 1/110_100.jpg,Avocado ripe 1,Avocado ripe 1,1.0
172,/fruits-360/Test/Avocado ripe 1/102_100.jpg,Avocado ripe 1,Avocado ripe 1,1.0
173,/fruits-360/Test/Avocado ripe 1/152_100.jpg,Avocado ripe 1,Avocado ripe 1,1.0
174,/fruits-360/Test/Avocado ripe 1/117_100.jpg,Avocado ripe 1,Avocado ripe 1,1.0
175,/fruits-360/Test/Avocado ripe 1/r_92_100.jpg,Avocado ripe 1,Avocado 1,0.9946416616439819
176,/fruits-360/Test/Avocado ripe 1/r_196_100.jpg,Avocado ripe 1,Avocado ripe 1,1.0
177,/fruits-360/Test/Avocado ripe 1/r_45_100.jpg,Avocado ripe 1,Avocado ripe 1,1.0
178,/fruits-360/Test/Avocado ripe 1/218_100.jpg,Avocado ripe 1,Avocado ripe 1,1.0
179,/fruits-360/Test/Avocado ripe 1/142_100.jpg,Avocado ripe 1,Avocado ripe 1,1.0
180,/fruits-360/Test/Avocado ripe 1/r_75_100.jpg,Avocado ripe 1,Avocado ripe 1,0.999983549118042
181,/fruits-360/Test/Banana 1/r_60_100.jpg,Banana 1,Banana 1,1.0
182,/fruits-360/Test/Banana 1/r_44_100.jpg,Banana 1,Banana 1,1.0
183,/fruits-360/Test/Banana 1/r_227_100.jpg,Banana 1,Banana 1,1.0
184,/fruits-360/Test/Banana 1/r_47_100.jpg,Banana 1,Banana 1,1.0
185,/fruits-360/Test/Banana 1/r_57_100.jpg,Banana 1,Banana 1,1.0
186,/fruits-360/Test/Banana 1/r_321_100.jpg,Banana 1,Banana 1,1.0
187,/fruits-360/Test/Banana 1/r_16_100.jpg,Banana 1,Banana 1,1.0
188,/fruits-360/Test/Banana 1/r_43_100.jpg,Banana 1,Banana 1,1.0
189,/fruits-360/Test/Banana 1/318_100.jpg,Banana 1,Banana 1,0.999152421951294
190,/fruits-360/Test/Banana 1/r_66_100.jpg,Banana 1,Banana 1,1.0
191,/fruits-360/Test/Banana Lady Finger 1/r2_93_100.jpg,Banana Lady Finger 1,Banana Lady Finger 1,1.0
192,/fruits-360/Test/Banana Lady Finger 1/r_139_100.jpg,Banana Lady Finger 1,Banana Lady Finger 1,1.0
193,/fruits-360/Test/Banana Lady Finger 1/r2_178_100.jpg,Banana Lady Finger 1,Banana Lady Finger 1,1.0
194,/fruits-360/Test/Banana Lady Finger 1/145_100.jpg,Banana Lady Finger 1,Carrot 1,0.9999569654464722
195,/fruits-360/Test/Banana Lady Finger 1/r_48_100.jpg,Banana Lady Finger 1,Banana Lady Finger 1,1.0
196,/fruits-360/Test/Banana Lady Finger 1/r_156_100.jpg,Banana Lady Finger 1,Banana Lady Finger 1,1.0
197,/fruits-360/Test/Banana Lady Finger 1/152_100.jpg,Banana Lady Finger 1,Carrot 1,0.7299567461013794
198,/fruits-360/Test/Banana Lady Finger 1/151_100.jpg,Banana Lady Finger 1,Carrot 1,0.999998927116394
199,/fruits-360/Test/Banana Lady Finger 1/137_100.jpg,Banana Lady Finger 1,Carrot 1,0.9623408913612366
200,/fruits-360/Test/Banana Lady Finger 1/42_100.jpg,Banana Lady Finger 1,Cucumber 3,0.9903055429458618
201,/fruits-360/Test/Banana Red 1/r_102_100.jpg,Banana Red 1,Banana Red 1,1.0
202,/fruits-360/Test/Banana Red 1/r_147_100.jpg,Banana Red 1,Banana Red 1,1.0
203,/fruits-360/Test/Banana Red 1/r_125_100.jpg,Banana Red 1,Banana Red 1,1.0
204,/fruits-360/Test/Banana Red 1/98_100.jpg,Banana Red 1,Banana Red 1,1.0
205,/fruits-360/Test/Banana Red 1/158_100.jpg,Banana Red 1,Banana Red 1,1.0
206,/fruits-360/Test/Banana Red 1/313_100.jpg,Banana Red 1,Banana Red 1,1.0
207,/fruits-360/Test/Banana Red 1/165_100.jpg,Banana Red 1,Banana Red 1,1.0
208,/fruits-360/Test/Banana Red 1/r_135_100.jpg,Banana Red 1,Banana Red 1,1.0
209,/fruits-360/Test/Banana Red 1/r_234_100.jpg,Banana Red 1,Banana Red 1,1.0
210,/fruits-360/Test/Banana Red 1/176_100.jpg,Banana Red 1,Banana Red 1,1.0
211,/fruits-360/Test/Beetroot 1/r2_77_100.jpg,Beetroot 1,Onion White 1,0.5687822699546814
212,/fruits-360/Test/Beetroot 1/r_176_100.jpg,Beetroot 1,Beetroot 1,0.47105279564857483
213,/fruits-360/Test/Beetroot 1/r_141_100.jpg,Beetroot 1,Potato Red 1,0.970478355884552
214,/fruits-360/Test/Beetroot 1/r2_93_100.jpg,Beetroot 1,Potato Red 1,0.3039897084236145
215,/fruits-360/Test/Beetroot 1/r_170_100.jpg,Beetroot 1,Pear Forelle 1,0.7530672550201416
216,/fruits-360/Test/Beetroot 1/136_100.jpg,Beetroot 1,Beetroot 1,0.9875482320785522
217,/fruits-360/Test/Beetroot 1/130_100.jpg,Beetroot 1,Beetroot 1,0.9995920062065125
218,/fruits-360/Test/Beetroot 1/r2_193_100.jpg,Beetroot 1,Beetroot 1,1.0
219,/fruits-360/Test/Beetroot 1/r_180_100.jpg,Beetroot 1,Beetroot 1,0.9832639098167419
220,/fruits-360/Test/Beetroot 1/r2_76_100.jpg,Beetroot 1,Potato Red 1,0.46547096967697144
221,/fruits-360/Test/Blueberry 1/r_235_100.jpg,Blueberry 1,Apple Red Delicious 1,0.9907153844833374
222,/fruits-360/Test/Blueberry 1/r_230_100.jpg,Blueberry 1,Grape Blue 1,0.9967740178108215
223,/fruits-360/Test/Blueberry 1/225_100.jpg,Blueberry 1,Blueberry 1,1.0
224,/fruits-360/Test/Blueberry 1/38_100.jpg,Blueberry 1,Blueberry 1,1.0
225,/fruits-360/Test/Blueberry 1/186_100.jpg,Blueberry 1,Blueberry 1,1.0
226,/fruits-360/Test/Blueberry 1/r_250_100.jpg,Blueberry 1,Blueberry 1,0.7678869366645813
227,/fruits-360/Test/Blueberry 1/r_79_100.jpg,Blueberry 1,Blueberry 1,1.0
228,/fruits-360/Test/Blueberry 1/127_100.jpg,Blueberry 1,Blueberry 1,1.0
229,/fruits-360/Test/Blueberry 1/194_100.jpg,Blueberry 1,Blueberry 1,1.0
230,/fruits-360/Test/Blueberry 1/r_200_100.jpg,Blueberry 1,Grape Blue 1,1.0
231,/fruits-360/Test/Cabbage white 1/r0_7_100.jpg,Cabbage white 1,Cabbage white 1,1.0
232,/fruits-360/Test/Cabbage white 1/r0_79_100.jpg,Cabbage white 1,Cabbage white 1,1.0
233,/fruits-360/Test/Cabbage white 1/r0_83_100.jpg,Cabbage white 1,Cabbage white 1,1.0
234,/fruits-360/Test/Cabbage white 1/r0_63_100.jpg,Cabbage white 1,Cabbage white 1,1.0
235,/fruits-360/Test/Cabbage white 1/r0_183_100.jpg,Cabbage white 1,Cabbage white 1,1.0
236,/fruits-360/Test/Cabbage white 1/r0_71_100.jpg,Cabbage white 1,Cabbage white 1,1.0
237,/fruits-360/Test/Cabbage white 1/r0_59_100.jpg,Cabbage white 1,Cabbage white 1,1.0
238,/fruits-360/Test/Cabbage white 1/r0_99_100.jpg,Cabbage white 1,Cabbage white 1,1.0
239,/fruits-360/Test/Cabbage white 1/r0_187_100.jpg,Cabbage white 1,Cabbage white 1,1.0
240,/fruits-360/Test/Cabbage white 1/r0_175_100.jpg,Cabbage white 1,Cabbage white 1,1.0
241,/fruits-360/Test/Cactus fruit 1/r_4_100.jpg,Cactus fruit 1,Cactus fruit 1,0.9999486207962036
242,/fruits-360/Test/Cactus fruit 1/r_3_100.jpg,Cactus fruit 1,Cactus fruit 1,0.995505690574646
243,/fruits-360/Test/Cactus fruit 1/r_278_100.jpg,Cactus fruit 1,Cactus fruit 1,0.9966891407966614
244,/fruits-360/Test/Cactus fruit 1/r_270_100.jpg,Cactus fruit 1,Cactus fruit 1,1.0
245,/fruits-360/Test/Cactus fruit 1/r_116_100.jpg,Cactus fruit 1,Cactus fruit 1,1.0
246,/fruits-360/Test/Cactus fruit 1/r_314_100.jpg,Cactus fruit 1,Cactus fruit 1,0.9995821118354797
247,/fruits-360/Test/Cactus fruit 1/243_100.jpg,Cactus fruit 1,Cactus fruit 1,1.0
248,/fruits-360/Test/Cactus fruit 1/r_304_100.jpg,Cactus fruit 1,Cactus fruit 1,0.9999246597290039
249,/fruits-360/Test/Cactus fruit 1/r_324_100.jpg,Cactus fruit 1,Cactus fruit 1,0.9999998807907104
250,/fruits-360/Test/Cactus fruit 1/17_100.jpg,Cactus fruit 1,Cactus fruit 1,1.0
251,/fruits-360/Test/Cantaloupe 1/130_100.jpg,Cantaloupe 1,Cantaloupe 1,1.0
252,/fruits-360/Test/Cantaloupe 1/r_117_100.jpg,Cantaloupe 1,Cantaloupe 1,1.0
253,/fruits-360/Test/Cantaloupe 1/152_100.jpg,Cantaloupe 1,Cantaloupe 1,1.0
254,/fruits-360/Test/Cantaloupe 1/r_140_100.jpg,Cantaloupe 1,Cantaloupe 1,1.0
255,/fruits-360/Test/Cantaloupe 1/136_100.jpg,Cantaloupe 1,Cantaloupe 1,1.0
