Image,Image_Path,Label,Prediction,Probability,Price_per_unit_usd,Unit
21,fruits-360/Test/Apple Crimson Snow 1/r_48_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,1,1.44,Lb
22,fruits-360/Test/Apple Crimson Snow 1/97_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,0.999996424,1.44,Lb
23,fruits-360/Test/Apple Crimson Snow 1/155_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,0.999979496,1.44,Lb
24,fruits-360/Test/Apple Crimson Snow 1/r_113_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,1,1.44,Lb
25,fruits-360/Test/Apple Crimson Snow 1/144_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,0.999999642,1.44,Lb
26,fruits-360/Test/Apple Crimson Snow 1/107_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,0.999998093,1.44,Lb
27,fruits-360/Test/Apple Crimson Snow 1/131_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,0.669953763,1.44,Lb
28,fruits-360/Test/Apple Crimson Snow 1/r_116_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,1,1.44,Lb
29,fruits-360/Test/Apple Crimson Snow 1/r_111_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,1,1.44,Lb
30,fruits-360/Test/Apple Crimson Snow 1/113_100.jpg,Apple Crimson Snow 1,Apple Crimson Snow 1,1,1.44,Lb
31,fruits-360/Test/Apple Golden 1/77_100.jpg,Apple Golden 1,Apple Golden 1,1,1.44,Lb
32,fruits-360/Test/Apple Golden 1/r_52_100.jpg,Apple Golden 1,Apple Golden 1,0.999926209,1.44,Lb
33,fruits-360/Test/Apple Golden 1/r_41_100.jpg,Apple Golden 1,Apple Golden 1,1,1.44,Lb
34,fruits-360/Test/Apple Golden 1/r_40_100.jpg,Apple Golden 1,Apple Golden 1,1,1.44,Lb
35,fruits-360/Test/Apple Golden 1/76_100.jpg,Apple Golden 1,Apple Golden 1,1,1.44,Lb
36,fruits-360/Test/Apple Golden 1/r_96_100.jpg,Apple Golden 1,Apple Golden 1,1,1.44,Lb
37,fruits-360/Test/Apple Golden 1/r_58_100.jpg,Apple Golden 1,Apple Golden 1,0.879508615,1.44,Lb
38,fruits-360/Test/Apple Golden 1/r_70_100.jpg,Apple Golden 1,Apple Red Yellow 1,0.480432987,1.44,Lb
39,fruits-360/Test/Apple Golden 1/102_100.jpg,Apple Golden 1,Apple Golden 1,0.999983549,1.44,Lb
40,fruits-360/Test/Apple Golden 1/r_85_100.jpg,Apple Golden 1,Grapefruit Pink 1,0.628651738,1.44,Lb
41,fruits-360/Test/Apple Golden 2/53_100.jpg,Apple Golden 2,Apple Golden 2,1,1.44,Lb
42,fruits-360/Test/Apple Golden 2/r_70_100.jpg,Apple Golden 2,Apple Golden 2,1,1.44,Lb
43,fruits-360/Test/Apple Golden 2/69_100.jpg,Apple Golden 2,Apple Golden 2,1,1.44,Lb
44,fruits-360/Test/Apple Golden 2/93_100.jpg,Apple Golden 2,Apple Golden 2,1,1.44,Lb
45,fruits-360/Test/Apple Golden 2/88_100.jpg,Apple Golden 2,Apple Golden 2,1,1.44,Lb
46,fruits-360/Test/Apple Golden 2/96_100.jpg,Apple Golden 2,Apple Golden 2,1,1.44,Lb
47,fruits-360/Test/Apple Golden 2/327_100.jpg,Apple Golden 2,Apple Golden 2,1,1.44,Lb
48,fruits-360/Test/Apple Golden 2/r_323_100.jpg,Apple Golden 2,Apple Golden 2,1,1.44,Lb
49,fruits-360/Test/Apple Golden 2/67_100.jpg,Apple Golden 2,Apple Golden 2,1,1.44,Lb
50,fruits-360/Test/Apple Golden 2/r_73_100.jpg,Apple Golden 2,Apple Golden 2,1,1.44,Lb
51,fruits-360/Test/Apple Golden 3/r_37_100.jpg,Apple Golden 3,Apple Golden 3,1,1.44,Lb
52,fruits-360/Test/Apple Golden 3/r_49_100.jpg,Apple Golden 3,Apple Golden 3,0.999999881,1.44,Lb
53,fruits-360/Test/Apple Golden 3/40_100.jpg,Apple Golden 3,Apple Golden 3,1,1.44,Lb
54,fruits-360/Test/Apple Golden 3/r_48_100.jpg,Apple Golden 3,Apple Golden 3,0.998163283,1.44,Lb
55,fruits-360/Test/Apple Golden 3/r_55_100.jpg,Apple Golden 3,Apple Golden 3,0.999901652,1.44,Lb
56,fruits-360/Test/Apple Golden 3/r_85_100.jpg,Apple Golden 3,Apple Golden 3,1,1.44,Lb
57,fruits-360/Test/Apple Golden 3/r_39_100.jpg,Apple Golden 3,Apple Golden 3,1,1.44,Lb
58,fruits-360/Test/Apple Golden 3/85_100.jpg,Apple Golden 3,Apple Golden 3,1,1.44,Lb
59,fruits-360/Test/Apple Golden 3/r_33_100.jpg,Apple Golden 3,Apple Golden 3,1,1.44,Lb
60,fruits-360/Test/Apple Golden 3/r_70_100.jpg,Apple Golden 3,Apple Golden 3,1,1.44,Lb
61,fruits-360/Test/Apple Granny Smith 1/r_71_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,0.999853969,1.44,Lb
62,fruits-360/Test/Apple Granny Smith 1/51_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1,1.44,Lb
63,fruits-360/Test/Apple Granny Smith 1/59_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1,1.44,Lb
64,fruits-360/Test/Apple Granny Smith 1/r_323_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1,1.44,Lb
65,fruits-360/Test/Apple Granny Smith 1/r_81_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1,1.44,Lb
66,fruits-360/Test/Apple Granny Smith 1/r_85_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1,1.44,Lb
67,fruits-360/Test/Apple Granny Smith 1/r_79_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1,1.44,Lb
68,fruits-360/Test/Apple Granny Smith 1/91_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1,1.44,Lb
69,fruits-360/Test/Apple Granny Smith 1/41_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,1,1.44,Lb
70,fruits-360/Test/Apple Granny Smith 1/r_65_100.jpg,Apple Granny Smith 1,Apple Granny Smith 1,0.999864936,1.44,Lb
71,fruits-360/Test/Apple Pink Lady 1/252_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1,1.44,Lb
72,fruits-360/Test/Apple Pink Lady 1/r_236_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,0.968525648,1.44,Lb
73,fruits-360/Test/Apple Pink Lady 1/279_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1,1.44,Lb
74,fruits-360/Test/Apple Pink Lady 1/r_59_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1,1.44,Lb
75,fruits-360/Test/Apple Pink Lady 1/r_259_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,0.999999762,1.44,Lb
76,fruits-360/Test/Apple Pink Lady 1/r_226_100.jpg,Apple Pink Lady 1,Onion White 1,0.842543721,1.44,Lb
77,fruits-360/Test/Apple Pink Lady 1/70_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1,1.44,Lb
78,fruits-360/Test/Apple Pink Lady 1/270_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1,1.44,Lb
79,fruits-360/Test/Apple Pink Lady 1/r_249_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,0.999999881,1.44,Lb
80,fruits-360/Test/Apple Pink Lady 1/256_100.jpg,Apple Pink Lady 1,Apple Pink Lady 1,1,1.44,Lb
81,fruits-360/Test/Apple Red 1/69_100.jpg,Apple Red 1,Grape Pink 1,1,1.44,Lb
82,fruits-360/Test/Apple Red 1/76_100.jpg,Apple Red 1,Grape Pink 1,1,1.44,Lb
83,fruits-360/Test/Apple Red 1/88_100.jpg,Apple Red 1,Grape Pink 1,0.999949574,1.44,Lb
84,fruits-360/Test/Apple Red 1/93_100.jpg,Apple Red 1,Apple Red 1,0.94861114,1.44,Lb
85,fruits-360/Test/Apple Red 1/83_100.jpg,Apple Red 1,Grape Pink 1,1,1.44,Lb
86,fruits-360/Test/Apple Red 1/61_100.jpg,Apple Red 1,Grape Pink 1,1,1.44,Lb
87,fruits-360/Test/Apple Red 1/5_100.jpg,Apple Red 1,Apple Red 1,1,1.44,Lb
88,fruits-360/Test/Apple Red 1/r_65_100.jpg,Apple Red 1,Grape Pink 1,0.968732476,1.44,Lb
89,fruits-360/Test/Apple Red 1/r_57_100.jpg,Apple Red 1,Apple Red 1,0.568058074,1.44,Lb
90,fruits-360/Test/Apple Red 1/r_79_100.jpg,Apple Red 1,Grape Pink 1,0.999579251,1.44,Lb
91,fruits-360/Test/Apple Red 2/r_41_100.jpg,Apple Red 2,Apple Red 2,1,1.44,Lb
92,fruits-360/Test/Apple Red 2/60_100.jpg,Apple Red 2,Orange 1,0.999999762,1.44,Lb
93,fruits-360/Test/Apple Red 2/r_89_100.jpg,Apple Red 2,Apple Red 2,0.999309182,1.44,Lb
94,fruits-360/Test/Apple Red 2/75_100.jpg,Apple Red 2,Orange 1,0.999985456,1.44,Lb
95,fruits-360/Test/Apple Red 2/61_100.jpg,Apple Red 2,Orange 1,0.999998212,1.44,Lb
96,fruits-360/Test/Apple Red 2/70_100.jpg,Apple Red 2,Orange 1,0.99976033,1.44,Lb
97,fruits-360/Test/Apple Red 2/55_100.jpg,Apple Red 2,Orange 1,0.999857068,1.44,Lb
98,fruits-360/Test/Apple Red 2/r_60_100.jpg,Apple Red 2,Nectarine 1,0.99548775,1.44,Lb
99,fruits-360/Test/Apple Red 2/76_100.jpg,Apple Red 2,Orange 1,0.997204721,1.44,Lb
100,fruits-360/Test/Apple Red 2/45_100.jpg,Apple Red 2,Apple Red 2,1,1.44,Lb
101,fruits-360/Test/Apple Red 3/r_322_100.jpg,Apple Red 3,Apple Red 3,1,1.44,Lb
102,fruits-360/Test/Apple Red 3/r_34_100.jpg,Apple Red 3,Apple Red 3,1,1.44,Lb
103,fruits-360/Test/Apple Red 3/92_100.jpg,Apple Red 3,Apple Red 3,0.999999285,1.44,Lb
104,fruits-360/Test/Apple Red 3/r_6_100.jpg,Apple Red 3,Apple Red 3,1,1.44,Lb
105,fruits-360/Test/Apple Red 3/6_100.jpg,Apple Red 3,Apple Red 3,1,1.44,Lb
106,fruits-360/Test/Apple Red 3/58_100.jpg,Apple Red 3,Apple Red 3,1,1.44,Lb
107,fruits-360/Test/Apple Red 3/49_100.jpg,Apple Red 3,Apple Red 3,1,1.44,Lb
108,fruits-360/Test/Apple Red 3/r_79_100.jpg,Apple Red 3,Apple Red 3,0.999976039,1.44,Lb
109,fruits-360/Test/Apple Red 3/r_48_100.jpg,Apple Red 3,Apple Red 3,1,1.44,Lb
110,fruits-360/Test/Apple Red 3/r_321_100.jpg,Apple Red 3,Apple Red 3,1,1.44,Lb
111,fruits-360/Test/Apple Red Delicious 1/r_160_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1,1.44,Lb
112,fruits-360/Test/Apple Red Delicious 1/309_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1,1.44,Lb
113,fruits-360/Test/Apple Red Delicious 1/r_175_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1,1.44,Lb
114,fruits-360/Test/Apple Red Delicious 1/r_319_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1,1.44,Lb
115,fruits-360/Test/Apple Red Delicious 1/r_150_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1,1.44,Lb
116,fruits-360/Test/Apple Red Delicious 1/r_288_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1,1.44,Lb
117,fruits-360/Test/Apple Red Delicious 1/172_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1,1.44,Lb
118,fruits-360/Test/Apple Red Delicious 1/18_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1,1.44,Lb
119,fruits-360/Test/Apple Red Delicious 1/r_268_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1,1.44,Lb
120,fruits-360/Test/Apple Red Delicious 1/234_100.jpg,Apple Red Delicious 1,Apple Red Delicious 1,1,1.44,Lb
121,fruits-360/Test/Apple Red Yellow 1/73_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,0.99820888,1.44,Lb
122,fruits-360/Test/Apple Red Yellow 1/69_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,0.996870697,1.44,Lb
123,fruits-360/Test/Apple Red Yellow 1/r_5_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,1,1.44,Lb
124,fruits-360/Test/Apple Red Yellow 1/r_33_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,0.997087419,1.44,Lb
125,fruits-360/Test/Apple Red Yellow 1/r_70_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,1,1.44,Lb
126,fruits-360/Test/Apple Red Yellow 1/36_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,1,1.44,Lb
127,fruits-360/Test/Apple Red Yellow 1/71_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,0.906809092,1.44,Lb
128,fruits-360/Test/Apple Red Yellow 1/r_48_100.jpg,Apple Red Yellow 1,Nectarine 1,0.938552558,1.44,Lb
129,fruits-360/Test/Apple Red Yellow 1/89_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,1,1.44,Lb
130,fruits-360/Test/Apple Red Yellow 1/4_100.jpg,Apple Red Yellow 1,Apple Red Yellow 1,1,1.44,Lb
131,fruits-360/Test/Apple Red Yellow 2/r2_180_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1,1.44,Lb
132,fruits-360/Test/Apple Red Yellow 2/119_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,0.999998927,1.44,Lb
133,fruits-360/Test/Apple Red Yellow 2/135_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1,1.44,Lb
134,fruits-360/Test/Apple Red Yellow 2/r2_209_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1,1.44,Lb
135,fruits-360/Test/Apple Red Yellow 2/116_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1,1.44,Lb
136,fruits-360/Test/Apple Red Yellow 2/r2_169_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1,1.44,Lb
137,fruits-360/Test/Apple Red Yellow 2/133_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1,1.44,Lb
138,fruits-360/Test/Apple Red Yellow 2/r_236_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1,1.44,Lb
139,fruits-360/Test/Apple Red Yellow 2/225_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1,1.44,Lb
140,fruits-360/Test/Apple Red Yellow 2/4_100.jpg,Apple Red Yellow 2,Apple Red Yellow 2,1,1.44,Lb
141,fruits-360/Test/Apple hit 1/r2_59_100.jpg,Apple hit 1,Apple hit 1,1,1.44,Lb
142,fruits-360/Test/Apple hit 1/r0_31_100.jpg,Apple hit 1,Apple hit 1,1,1.44,Lb
143,fruits-360/Test/Apple hit 1/r0_315_100.jpg,Apple hit 1,Apple hit 1,1,1.44,Lb
144,fruits-360/Test/Apple hit 1/r1_195_100.jpg,Apple hit 1,Apple hit 1,1,1.44,Lb
145,fruits-360/Test/Apple hit 1/r2_239_100.jpg,Apple hit 1,Apple hit 1,1,1.44,Lb
146,fruits-360/Test/Apple hit 1/r2_151_100.jpg,Apple hit 1,Apple hit 1,1,1.44,Lb
147,fruits-360/Test/Apple hit 1/r2_63_100.jpg,Apple hit 1,Apple hit 1,1,1.44,Lb
148,fruits-360/Test/Apple hit 1/r1_3_100.jpg,Apple hit 1,Apple hit 1,1,1.44,Lb
149,fruits-360/Test/Apple hit 1/r1_15_100.jpg,Apple hit 1,Apple hit 1,1,1.44,Lb
150,fruits-360/Test/Apple hit 1/r1_11_100.jpg,Apple hit 1,Apple hit 1,1,1.44,Lb
151,fruits-360/Test/Apricot 1/r_324_100.jpg,Apricot 1,Apricot 1,1,,
152,fruits-360/Test/Apricot 1/93_100.jpg,Apricot 1,Apricot 1,1,,
153,fruits-360/Test/Apricot 1/r_70_100.jpg,Apricot 1,Apricot 1,0.999999881,,
154,fruits-360/Test/Apricot 1/41_100.jpg,Apricot 1,Apricot 1,1,,
155,fruits-360/Test/Apricot 1/r_55_100.jpg,Apricot 1,Apricot 1,1,,
156,fruits-360/Test/Apricot 1/78_100.jpg,Apricot 1,Apricot 1,1,,
157,fruits-360/Test/Apricot 1/r_50_100.jpg,Apricot 1,Apricot 1,1,,
158,fruits-360/Test/Apricot 1/60_100.jpg,Apricot 1,Apricot 1,1,,
159,fruits-360/Test/Apricot 1/80_100.jpg,Apricot 1,Apricot 1,1,,
160,fruits-360/Test/Apricot 1/r_62_100.jpg,Apricot 1,Apricot 1,1,,
161,fruits-360/Test/Avocado 1/50_100.jpg,Avocado 1,Avocado 1,0.999999881,1.58,Count
162,fruits-360/Test/Avocado 1/79_100.jpg,Avocado 1,Avocado 1,1,1.58,Count
163,fruits-360/Test/Avocado 1/r_321_100.jpg,Avocado 1,Avocado 1,1,1.58,Count
164,fruits-360/Test/Avocado 1/r_71_100.jpg,Avocado 1,Avocado 1,0.999997377,1.58,Count
165,fruits-360/Test/Avocado 1/57_100.jpg,Avocado 1,Avocado 1,0.999999881,1.58,Count
166,fruits-360/Test/Avocado 1/r_82_100.jpg,Avocado 1,Avocado 1,1,1.58,Count
167,fruits-360/Test/Avocado 1/r_92_100.jpg,Avocado 1,Avocado 1,1,1.58,Count
168,fruits-360/Test/Avocado 1/r_56_100.jpg,Avocado 1,Avocado 1,1,1.58,Count
169,fruits-360/Test/Avocado 1/63_100.jpg,Avocado 1,Avocado 1,0.999999404,1.58,Count
170,fruits-360/Test/Avocado 1/r_86_100.jpg,Avocado 1,Avocado 1,1,1.58,Count
171,fruits-360/Test/Avocado ripe 1/110_100.jpg,Avocado ripe 1,Avocado ripe 1,1,1.58,Count
172,fruits-360/Test/Avocado ripe 1/102_100.jpg,Avocado ripe 1,Avocado ripe 1,1,1.58,Count
173,fruits-360/Test/Avocado ripe 1/152_100.jpg,Avocado ripe 1,Avocado ripe 1,1,1.58,Count
174,fruits-360/Test/Avocado ripe 1/117_100.jpg,Avocado ripe 1,Avocado ripe 1,1,1.58,Count
175,fruits-360/Test/Avocado ripe 1/r_92_100.jpg,Avocado ripe 1,Avocado 1,0.994641662,1.58,Count
176,fruits-360/Test/Avocado ripe 1/r_196_100.jpg,Avocado ripe 1,Avocado ripe 1,1,1.58,Count
177,fruits-360/Test/Avocado ripe 1/r_45_100.jpg,Avocado ripe 1,Avocado ripe 1,1,1.58,Count
178,fruits-360/Test/Avocado ripe 1/218_100.jpg,Avocado ripe 1,Avocado ripe 1,1,1.58,Count
179,fruits-360/Test/Avocado ripe 1/142_100.jpg,Avocado ripe 1,Avocado ripe 1,1,1.58,Count
180,fruits-360/Test/Avocado ripe 1/r_75_100.jpg,Avocado ripe 1,Avocado ripe 1,0.999983549,1.58,Count
181,fruits-360/Test/Banana 1/r_60_100.jpg,Banana 1,Banana 1,1,0.52,Lb
182,fruits-360/Test/Banana 1/r_44_100.jpg,Banana 1,Banana 1,1,0.52,Lb
183,fruits-360/Test/Banana 1/r_227_100.jpg,Banana 1,Banana 1,1,0.52,Lb
184,fruits-360/Test/Banana 1/r_47_100.jpg,Banana 1,Banana 1,1,0.52,Lb
185,fruits-360/Test/Banana 1/r_57_100.jpg,Banana 1,Banana 1,1,0.52,Lb
186,fruits-360/Test/Banana 1/r_321_100.jpg,Banana 1,Banana 1,1,0.52,Lb
187,fruits-360/Test/Banana 1/r_16_100.jpg,Banana 1,Banana 1,1,0.52,Lb
188,fruits-360/Test/Banana 1/r_43_100.jpg,Banana 1,Banana 1,1,0.52,Lb
189,fruits-360/Test/Banana 1/318_100.jpg,Banana 1,Banana 1,0.999152422,0.52,Lb
190,fruits-360/Test/Banana 1/r_66_100.jpg,Banana 1,Banana 1,1,0.52,Lb
191,fruits-360/Test/Banana Lady Finger 1/r2_93_100.jpg,Banana Lady Finger 1,Banana Lady Finger 1,1,0.52,Lb
192,fruits-360/Test/Banana Lady Finger 1/r_139_100.jpg,Banana Lady Finger 1,Banana Lady Finger 1,1,0.52,Lb
193,fruits-360/Test/Banana Lady Finger 1/r2_178_100.jpg,Banana Lady Finger 1,Banana Lady Finger 1,1,0.52,Lb
194,fruits-360/Test/Banana Lady Finger 1/145_100.jpg,Banana Lady Finger 1,Carrot 1,0.999956965,0.52,Lb
195,fruits-360/Test/Banana Lady Finger 1/r_48_100.jpg,Banana Lady Finger 1,Banana Lady Finger 1,1,0.52,Lb
196,fruits-360/Test/Banana Lady Finger 1/r_156_100.jpg,Banana Lady Finger 1,Banana Lady Finger 1,1,0.52,Lb
197,fruits-360/Test/Banana Lady Finger 1/152_100.jpg,Banana Lady Finger 1,Carrot 1,0.729956746,0.52,Lb
198,fruits-360/Test/Banana Lady Finger 1/151_100.jpg,Banana Lady Finger 1,Carrot 1,0.999998927,0.52,Lb
199,fruits-360/Test/Banana Lady Finger 1/137_100.jpg,Banana Lady Finger 1,Carrot 1,0.962340891,0.52,Lb
200,fruits-360/Test/Banana Lady Finger 1/42_100.jpg,Banana Lady Finger 1,Cucumber 3,0.990305543,0.52,Lb
201,fruits-360/Test/Banana Red 1/r_102_100.jpg,Banana Red 1,Banana Red 1,1,0.52,Lb
202,fruits-360/Test/Banana Red 1/r_147_100.jpg,Banana Red 1,Banana Red 1,1,0.52,Lb
203,fruits-360/Test/Banana Red 1/r_125_100.jpg,Banana Red 1,Banana Red 1,1,0.52,Lb
204,fruits-360/Test/Banana Red 1/98_100.jpg,Banana Red 1,Banana Red 1,1,0.52,Lb
205,fruits-360/Test/Banana Red 1/158_100.jpg,Banana Red 1,Banana Red 1,1,0.52,Lb
206,fruits-360/Test/Banana Red 1/313_100.jpg,Banana Red 1,Banana Red 1,1,0.52,Lb
207,fruits-360/Test/Banana Red 1/165_100.jpg,Banana Red 1,Banana Red 1,1,0.52,Lb
208,fruits-360/Test/Banana Red 1/r_135_100.jpg,Banana Red 1,Banana Red 1,1,0.52,Lb
209,fruits-360/Test/Banana Red 1/r_234_100.jpg,Banana Red 1,Banana Red 1,1,0.52,Lb
210,fruits-360/Test/Banana Red 1/176_100.jpg,Banana Red 1,Banana Red 1,1,0.52,Lb
211,fruits-360/Test/Beetroot 1/r2_77_100.jpg,Beetroot 1,Onion White 1,0.56878227,1.39,Lb
212,fruits-360/Test/Beetroot 1/r_176_100.jpg,Beetroot 1,Beetroot 1,0.471052796,1.39,Lb
213,fruits-360/Test/Beetroot 1/r_141_100.jpg,Beetroot 1,Potato Red 1,0.970478356,1.39,Lb
214,fruits-360/Test/Beetroot 1/r2_93_100.jpg,Beetroot 1,Potato Red 1,0.303989708,1.39,Lb
215,fruits-360/Test/Beetroot 1/r_170_100.jpg,Beetroot 1,Pear Forelle 1,0.753067255,1.39,Lb
216,fruits-360/Test/Beetroot 1/136_100.jpg,Beetroot 1,Beetroot 1,0.987548232,1.39,Lb
217,fruits-360/Test/Beetroot 1/130_100.jpg,Beetroot 1,Beetroot 1,0.999592006,1.39,Lb
218,fruits-360/Test/Beetroot 1/r2_193_100.jpg,Beetroot 1,Beetroot 1,1,1.39,Lb
219,fruits-360/Test/Beetroot 1/r_180_100.jpg,Beetroot 1,Beetroot 1,0.98326391,1.39,Lb
220,fruits-360/Test/Beetroot 1/r2_76_100.jpg,Beetroot 1,Potato Red 1,0.46547097,1.39,Lb
221,fruits-360/Test/Blueberry 1/r_235_100.jpg,Blueberry 1,Apple Red Delicious 1,0.990715384,3.02,Lb
222,fruits-360/Test/Blueberry 1/r_230_100.jpg,Blueberry 1,Grape Blue 1,0.996774018,3.02,Lb
223,fruits-360/Test/Blueberry 1/225_100.jpg,Blueberry 1,Blueberry 1,1,3.02,Lb
224,fruits-360/Test/Blueberry 1/38_100.jpg,Blueberry 1,Blueberry 1,1,3.02,Lb
225,fruits-360/Test/Blueberry 1/186_100.jpg,Blueberry 1,Blueberry 1,1,3.02,Lb
226,fruits-360/Test/Blueberry 1/r_250_100.jpg,Blueberry 1,Blueberry 1,0.767886937,3.02,Lb
227,fruits-360/Test/Blueberry 1/r_79_100.jpg,Blueberry 1,Blueberry 1,1,3.02,Lb
228,fruits-360/Test/Blueberry 1/127_100.jpg,Blueberry 1,Blueberry 1,1,3.02,Lb
229,fruits-360/Test/Blueberry 1/194_100.jpg,Blueberry 1,Blueberry 1,1,3.02,Lb
230,fruits-360/Test/Blueberry 1/r_200_100.jpg,Blueberry 1,Grape Blue 1,1,3.02,Lb
231,fruits-360/Test/Cabbage white 1/r0_7_100.jpg,Cabbage white 1,Cabbage white 1,1,,
232,fruits-360/Test/Cabbage white 1/r0_79_100.jpg,Cabbage white 1,Cabbage white 1,1,,
233,fruits-360/Test/Cabbage white 1/r0_83_100.jpg,Cabbage white 1,Cabbage white 1,1,,
234,fruits-360/Test/Cabbage white 1/r0_63_100.jpg,Cabbage white 1,Cabbage white 1,1,,
235,fruits-360/Test/Cabbage white 1/r0_183_100.jpg,Cabbage white 1,Cabbage white 1,1,,
236,fruits-360/Test/Cabbage white 1/r0_71_100.jpg,Cabbage white 1,Cabbage white 1,1,,
